SW,Switch_1,11
SW,Switch_2,12
SW,Switch_3,8
SW,Switch_4,12
SW,Switch_5,16
SW,Switch_6,12
SW,Switch_7,8
SW,Switch_8,11
SW,Switch_9,8
SW,Switch_10,12
SW,Switch_11,12
SW,Switch_12,10
SW,Switch_13,15
SW,Switch_14,10
SW,Switch_15,8
SW,Switch_16,12
SW,Switch_17,18
SW,Switch_18,14
SW,Switch_19,8
SW,Switch_20,11
ES,ES_1,1
ES,ES_2,1
ES,ES_3,1
ES,ES_4,1
ES,ES_5,1
ES,ES_6,1
ES,ES_7,1
ES,ES_8,1
ES,ES_9,1
ES,ES_10,1
ES,ES_11,1
ES,ES_12,1
ES,ES_13,1
ES,ES_14,1
ES,ES_15,1
ES,ES_16,1
ES,ES_17,1
ES,ES_18,1
ES,ES_19,1
ES,ES_20,1
ES,ES_21,1
ES,ES_22,1
ES,ES_23,1
ES,ES_24,1
ES,ES_25,1
ES,ES_26,1
ES,ES_27,1
ES,ES_28,1
ES,ES_29,1
ES,ES_30,1
ES,ES_31,1
ES,ES_32,1
ES,ES_33,1
ES,ES_34,1
ES,ES_35,1
ES,ES_36,1
ES,ES_37,1
ES,ES_38,1
ES,ES_39,1
ES,ES_40,1
LINK,Link_1,ES_1,1,Switch_1,1
LINK,Link_2,ES_2,1,Switch_1,2
LINK,Link_3,ES_3,1,Switch_2,1
LINK,Link_4,ES_4,1,Switch_2,2
LINK,Link_5,ES_5,1,Switch_3,1
LINK,Link_6,ES_6,1,Switch_3,2
LINK,Link_7,ES_7,1,Switch_4,1
LINK,Link_8,ES_8,1,Switch_4,2
LINK,Link_9,ES_9,1,Switch_5,1
LINK,Link_10,ES_10,1,Switch_5,2
LINK,Link_11,ES_11,1,Switch_6,1
LINK,Link_12,ES_12,1,Switch_6,2
LINK,Link_13,ES_13,1,Switch_7,1
LINK,Link_14,ES_14,1,Switch_7,2
LINK,Link_15,ES_15,1,Switch_8,1
LINK,Link_16,ES_16,1,Switch_8,2
LINK,Link_17,ES_17,1,Switch_9,1
LINK,Link_18,ES_18,1,Switch_9,2
LINK,Link_19,ES_19,1,Switch_10,1
LINK,Link_20,ES_20,1,Switch_10,2
LINK,Link_21,ES_21,1,Switch_11,1
LINK,Link_22,ES_22,1,Switch_11,2
LINK,Link_23,ES_23,1,Switch_12,1
LINK,Link_24,ES_24,1,Switch_12,2
LINK,Link_25,ES_25,1,Switch_13,1
LINK,Link_26,ES_26,1,Switch_13,2
LINK,Link_27,ES_27,1,Switch_14,1
LINK,Link_28,ES_28,1,Switch_14,2
LINK,Link_29,ES_29,1,Switch_15,1
LINK,Link_30,ES_30,1,Switch_15,2
LINK,Link_31,ES_31,1,Switch_16,1
LINK,Link_32,ES_32,1,Switch_16,2
LINK,Link_33,ES_33,1,Switch_17,1
LINK,Link_34,ES_34,1,Switch_17,2
LINK,Link_35,ES_35,1,Switch_18,1
LINK,Link_36,ES_36,1,Switch_18,2
LINK,Link_37,ES_37,1,Switch_19,1
LINK,Link_38,ES_38,1,Switch_19,2
LINK,Link_39,ES_39,1,Switch_20,1
LINK,Link_40,ES_40,1,Switch_20,2
LINK,Link_41,Switch_1,3,Switch_2,3
LINK,Link_42,Switch_1,4,Switch_5,3
LINK,Link_43,Switch_1,5,Switch_6,3
LINK,Link_44,Switch_1,6,Switch_10,3
LINK,Link_45,Switch_1,7,Switch_11,3
LINK,Link_46,Switch_1,8,Switch_12,3
LINK,Link_47,Switch_1,9,Switch_14,3
